,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Cabin,Embarked
486,1,1,female,Young Adult,1,0,90.0,1,S
487,0,1,male,Adult,0,0,29.7,1,C
488,0,3,male,Young Adult,0,0,8.05,0,S
489,1,3,male,Child,1,1,15.9,0,S
490,0,3,male,No age,1,0,19.9667,0,S
491,0,3,male,Young Adult,0,0,7.25,0,S
492,0,1,male,Adult,0,0,30.5,1,S
493,0,1,male,Elderly,0,0,49.5042,0,C
494,0,3,male,Young Adult,0,0,8.05,0,S
495,0,3,male,No age,0,0,14.4583,0,C
496,1,1,female,Adult,1,0,78.2667,1,C
497,0,3,male,No age,0,0,15.1,0,S
498,0,1,female,Young Adult,1,2,151.55,1,S
499,0,3,male,Young Adult,0,0,7.7958,0,S
500,0,3,male,Young Adult,0,0,8.6625,0,S
501,0,3,female,Young Adult,0,0,7.75,0,Q
502,0,3,female,No age,0,0,7.6292,0,Q
503,0,3,female,Adult,0,0,9.5875,0,S
504,1,1,female,Child,0,0,86.5,1,S
505,0,1,male,Young Adult,1,0,108.9,1,C
506,1,2,female,Young Adult,0,2,26.0,0,S
507,1,1,male,No age,0,0,26.55,0,S
508,0,3,male,Young Adult,0,0,22.525,0,S
509,1,3,male,Young Adult,0,0,56.4958,0,S
510,1,3,male,Young Adult,0,0,7.75,0,Q
511,0,3,male,No age,0,0,8.05,0,S
512,1,1,male,Adult,0,0,26.2875,1,S
513,1,1,female,Adult,1,0,59.4,0,C
514,0,3,male,Young Adult,0,0,7.4958,0,S
515,0,1,male,Adult,0,0,34.0208,1,S
516,1,2,female,Young Adult,0,0,10.5,1,S
517,0,3,male,No age,0,0,24.15,0,Q
518,1,2,female,Adult,1,0,26.0,0,S
519,0,3,male,Young Adult,0,0,7.8958,0,S
520,1,1,female,Young Adult,0,0,93.5,1,S
521,0,3,male,Young Adult,0,0,7.8958,0,S
522,0,3,male,No age,0,0,7.225,0,C
523,1,1,female,Adult,0,1,57.9792,1,C
524,0,3,male,No age,0,0,7.2292,0,C
525,0,3,male,Adult,0,0,7.75,0,Q
526,1,2,female,Adult,0,0,10.5,0,S
527,0,1,male,No age,0,0,221.7792,1,S
528,0,3,male,Adult,0,0,7.925,0,S
529,0,2,male,Young Adult,2,1,11.5,0,S
530,1,2,female,Baby/Toddler,1,1,26.0,0,S
531,0,3,male,No age,0,0,7.2292,0,C
532,0,3,male,Young Adult,1,1,7.2292,0,C
533,1,3,female,No age,0,2,22.3583,0,C
534,0,3,female,Young Adult,0,0,8.6625,0,S
535,1,2,female,Child,0,2,26.25,0,S
536,0,1,male,Adult,0,0,26.55,1,S
537,1,1,female,Young Adult,0,0,106.425,0,C
538,0,3,male,No age,0,0,14.5,0,S
539,1,1,female,Young Adult,0,2,49.5,1,C
540,1,1,female,Adult,0,2,71.0,1,S
541,0,3,female,Child,4,2,31.275,0,S
542,0,3,female,Child,4,2,31.275,0,S
543,1,2,male,Young Adult,1,0,26.0,0,S
544,0,1,male,Adult,1,0,106.425,1,C
545,0,1,male,Elderly,0,0,26.0,0,S
546,1,2,female,Young Adult,1,0,26.0,0,S
547,1,2,male,No age,0,0,13.8625,0,C
548,0,3,male,Young Adult,1,1,20.525,0,S
549,1,2,male,Child,1,1,36.75,0,S
550,1,1,male,Young Adult,0,2,110.8833,1,C
